game_id|game_date|visit_id|home_id|visit_scores|home_scores|attendance|officials
1797262|11/06/2019 06:00 PM|486709|486774|['27', '43', '70']|['42', '35', '77']|4815|['A.J. Desai', 'Tim Clougherty', 'Jeff Anderson']
1797265|11/06/2019 06:30 PM|486906|486990|['38', '41', '79']|['59', '50', '109']|3354|['Tony Chiazza', 'Mike Roberts', 'John Gaffney']
1797264|11/06/2019 06:30 PM|486738|486783|['26', '21', '47']|['36', '44', '80']|7706|['Nathan Farrell', 'Wally Rutecki', 'Pat  Driscoll']
1797276|11/06/2019 07:00 PM|486956|486925|['31', '34', '65']|['30', '44', '76']|21750|['Ron Groover', 'Bert Smith', 'Roger Ayers']
1797288|11/06/2019 07:00 PM|490884|486771|['25', '43', '68']|['57', '53', '110']|801|['Keith Bennett', 'Hassiba Braggs', 'Gerre3a3a DeBardelaben']
1797287|11/06/2019 07:00 PM|486721|486977|['22', '35', '57']|['35', '44', '79']|14804|['Steve McJunkins', 'Mike Eades', 'Bo Boroski']
1797286|11/06/2019 07:00 PM|491500|486921|['21', '23', '44']|['38', '33', '71']|1826|['HAYWOOD BOSTIC', 'CHET WALKER', 'RYAN SASSANO']
1797283|11/06/2019 07:00 PM|487418|486879|['31', '27', '58']|['40', '57', '97']|2405|['Damon Williams', 'Jesse Joseph', 'Brad Clauss']
1797282|11/06/2019 07:00 PM|486934|486808|['32', '43', '75']|['41', '39', '80']|871|['Tom Courtney', 'Dave Fernandez', 'Brian Zink']
1797281|11/06/2019 07:00 PM|487079|486895|['33', '31', '64']|['43', '41', '84']|1089|['Robert Riley Jr.', 'Matt Dorn', 'Tom Deneen']
1797280|11/06/2019 07:00 PM|486904|486717|['31', '34', '65']|['42', '33', '75']|1690|['Michael Swoboda', 'John Floyd', 'Bart Wegenke']
1797274|11/06/2019 07:00 PM|490715|486853|['24', '28', '52']|['61', '51', '112']|3123|[]
1797273|11/06/2019 07:00 PM|490070|486848|['15', '20', '35']|['50', '54', '104']|1644|['Christopher Balunek', 'Coy Gammon', 'R.B. Clyburn']
